"alpha","beta","sigma","convergence"
0.0130380633299498,1.17857929570509e-13,1.0778778525334,5.23134898157408e-05
0.0074324309788496,2.39236298896842e-13,0.633186762596726,5.83197531357749e-05
0.00790333075155834,5.01064607656551e-14,0.700914287461026,6.0705097192259e-05
0.0289725770844343,4.29393252239362e-08,0.785730557652187,1.18530383683173e-05
0.0142678767359665,1.44323712936788e-08,0.620204195669486,3.70316225947337e-05
0.0120231517122523,1.98510056275496e-08,0.62317990705571,2.95753906758078e-05
0.0234760097680439,3.20584638228623e-08,0.640795913301191,5.22655671896516e-06
0.00741791364976534,2.07647318118063e-09,0.51987946022147,6.1302832288084e-06
0.0116180763514488,1.29575110614496e-08,0.789311568971718,1.06856934981498e-06
0.0185384672627522,1.92217209380456e-08,0.682382900996799,5.95659985568521e-05
0.0164777281754243,1.410099542011e-08,0.806222383455154,4.65653874584371e-06
0.00922957209490963,4.781749691759e-09,0.658728671870881,5.30757180580495e-06
0.0106479220054798,8.63325276727736e-10,0.833844427853094,4.01845209926469e-05
0.0133130327006212,9.90108710521611e-09,0.790504596038907,1.40628770386609e-06
0.00768044749582299,9.16685531139916e-13,0.61229639615216,1.94538306343818e-05
0.0180042170304589,2.5368924118353e-08,0.51871900173849,2.95747847416885e-06
0.0169782147283776,2.79562467396673e-08,0.716455960764237,2.68032711778806e-05
0.0165641864347474,2.2039899031829e-08,0.569550874728336,8.2478609739703e-05
0.0464182151831355,4.19336679547253e-08,0.836140799341676,3.11194687130053e-05
0.010825996847601,1.07436807661115e-08,0.650142403055496,4.03959504131085e-06
0.032598478796935,3.53126240723261e-08,0.919948273375949,9.23331412373858e-07
0.0113051981593863,1.11038019230294e-08,0.992530221982875,3.55217074522572e-07
0.00856199947613805,2.65848190489973e-09,0.799754879686577,2.14955977859933e-05
0.00834828559747636,1.15068627267754e-08,0.739452495523873,5.61364858253057e-05
0.0126894367823805,4.8798955867889e-13,0.747797286292654,3.35828389779148e-06
0.0309230404760246,3.98617042101858e-08,0.648400099067734,4.8808708899428e-05
0.0136861645217063,1.7001765552244e-08,0.637049905524571,9.11556136694712e-06
0.0585895456150235,7.67415695962171e-08,0.935156569523186,8.25167030046761e-05
0.0194847729917979,2.17157736552828e-08,0.655117033545388,4.21750473331452e-06
0.0244794838395583,4.68778872838389e-08,0.622515745952133,2.11123031691514e-05
0.00864160793513557,1.63658759714865e-13,0.948538703492784,1.06158227321318e-05
0.0138051729685082,1.14420665152964e-08,0.798696672728255,3.2807072415159e-05
0.0100742545048816,5.66127190953546e-09,0.721064193081461,2.0938068949004e-05
0.021718916430128,2.28746594360843e-08,0.857620028017404,3.66270106736351e-06
0.0159948405659383,1.83082682575551e-08,0.805928549862499,8.33182432563761e-06
0.0110901895104149,1.36505651666889e-13,0.70170482792813,6.61508000922702e-05
0.00726330203626065,1.52775376655794e-12,0.69765231439836,4.72888052230176e-05
0.0058549277231754,3.11765351284595e-13,0.723433645004429,4.30688697784821e-05
0.00902799244311096,1.0259677907869e-12,0.673407127679112,7.15527524696929e-05
0.0126971564026258,3.5404895834807e-13,0.939854283982911,1.81345517577268e-05
0.00708952549799803,3.09712889083429e-13,0.712293713016787,4.3244016808197e-05
0.00960533694478365,1.61470487145863e-09,0.827741076344572,9.57466975620366e-06
0.00771001899191811,1.18363390250492e-12,0.814135583223476,7.6961862778386e-05
0.0100239249758408,6.30087573045548e-09,0.853633458752819,5.08744544309594e-06
0.019359980577269,2.45217145394477e-08,0.833141972865676,4.20498256320949e-05
0.0110533498253872,1.41345588090339e-08,0.590956223082696,3.39629659905833e-05
0.0100951748698031,6.96018345216209e-09,0.728901908830206,5.14829143424762e-05
0.0138863240846281,1.45170815392329e-08,0.693068109557843,6.30959075220329e-06
0.00707931877855939,2.85627143635524e-09,0.704662627355547,6.91237120134727e-07
0.00945524797690594,6.21977157883034e-13,0.64631023541702,8.01995186105348e-05
0.00950690424364852,6.58277721612449e-13,0.709955937580134,4.52565391395492e-05
0.0120530359119282,1.55043697416692e-08,0.828007891564174,2.16795580832494e-05
0.0101113569217538,1.94675244388685e-13,0.736183680376526,7.56454354796538e-05
0.0100713396367695,1.0026534741069e-13,0.499472130829755,6.39407584090901e-05
